youtubeId,title,artist
"YALvuUpY_b0","Apna Bana Le (From ""Bhediya"")","Arijit Singh"
"eXkHvT--DBU","Zaalima","Arijit Singh"
"Zkqhiil2kSo","Yeh Fitoor Mera","Arijit Singh"
"q1uPPBJ2tcI","Phir Bhi Tumko Chaahunga","Arijit Singh"
"HZdooZcE5T4","Yeh Fitoor Mera - Arijit Singh Vocals Only","Arijit Singh"
"uT_HXrrmHX8","Sitaare (From ""Ikkis"")","Arijit Singh"
"sq3SPPh0n3s","Oh Shiv Mere","Arijit Singh"
"SPX700IVmB8","Raanjhana","Arijit Singh"
"utU4laPPKls","Sanam Re","Arijit Singh"
"i1o1p_DD6TU","Gehra Hua (From ""Dhurandhar"")","Arijit Singh"
"LmMzgIvIJCE","ISHQ MUBARAK","Arijit Singh"
"B0p-iL_WbcA","Phir Le Aya Dil","Arijit Singh"
"_ofFkIYi00Q","Tujhko (From ""Cocktail 2"")","Arijit Singh"
"C3XSStOw7P8","Dil Hua Tera Humsafar","Arijit Singh"
"pUwpLoLlzNQ","Samjhawan","Arijit Singh"
"DsWmEF-NjWU","Janam Janam","Arijit Singh"
"p8eD8PQcC8I","Aasan Nahin Yahan","Arijit Singh"
"qCXbell_6d4","Tere Sang Ishq Hua","Arijit Singh"
"97bFaxqvpnI","Pal","Arijit Singh"
"TjXH_P7Khhg","Ve Kamleya","Arijit Singh"
"vEe-UgJvUHE","Raabta","Arijit Singh"
"ZD64J_IL_SQ","Uska Hi Banana","Arijit Singh"
"PTEIXgd3qcQ","Sathi Tera Ban Jau","Arijit Singh"
"8sqDCkVgMbc","Hamari Adhuri Kahani","Arijit Singh"
"ar5hpVZmGfw","Teri Meri Kahaani","Arijit Singh"
"Mx4Z1QVs27I","Saware","Arijit Singh"
"biiHl1rn4tw","Phir Mohabbat","Arijit Singh"
"k6dGN3azeqo","Kalank","Arijit Singh"
"m_nDBvPn4ZI","Bandeya Re Bandeya","Arijit Singh"
"6i5HBZxaPCY","Gerua","Arijit Singh"
"7ZNZzy3ccsI","Pal Pal Dil Ke Paas","Arijit Singh"
"Lu7xpm2gtbA","Phir Aur Kya Chahiye","Arijit Singh"
"yzzpxkoQQuM","Tere Bina","Arijit Singh"
"rFFq9_52IjI","Suno Na Sangemarmar","Arijit Singh"
"muxtRRMmyhc","Shayad","Arijit Singh"
"OIjbVS9CFL4","Jhoome Jo Pathaan","Arijit Singh"
"cupyMQmemIg","Tu Hain Toh Main Hoon","Arijit Singh"
"Ir1J728cIck","Ghungroo","Arijit Singh"
"8igrXc7DuFs","Heeriye","Arijit Singh"
"6UPZo8PX9OI","Kabira Encore","Arijit Singh"
"LJLeu9W5LFA","O Sajni Re","Arijit Singh"
"21i4L7p6WYg","Dhal Jaun Main","Arijit Singh"
"_RFUvHlW41A","Khairiyat","Arijit Singh"
"10cOJl1v4J8","Roke Na Ruke Naina","Arijit Singh"
"jtaIUZ8IljU","Chal Wahan Jaate Hain","Arijit Singh"
"IaT9pMOlRIA","Milne Hai Mujhse Aayi","Arijit Singh"
"0wDvr7vipbI","Qaafirana","Arijit Singh"
"eMOXATP2zz8","Bulleya","Arijit Singh"
"oyoCIDL6G-4","Dhun","Arijit Singh"
"3_U1dvxVIMo","Tere Ishk Mein","Arijit Singh"
"pGfpXjQokYc","Tum Kya Mile","Arijit Singh"
"jfh7ZKHxNTI","Meri Aashiqui","Arijit Singh"
"K3ZikUoxtjo","Tera Fitoor","Arijit Singh"
"F0FtGdc8rYM","Tu Hi Disda","Arijit Singh"
"QhRX-a6LW9s","Ghar Kab Aaoge","Arijit Singh"
"STlX7A_JaDc","Ae Watan","Arijit Singh"
"hnGXeIGiTZ4","Dua Karo","Arijit Singh"
"wRGR3zh07J4","Ek Din","Arijit Singh"
"mEYH2ggdFSw","Yeh Awarapan","Arijit Singh"
"Zz9miL0P47U","Lo Maan Liya","Arijit Singh"
"i6fuIGIzaAs","Tera Chehra","Arijit Singh"
"WjAPDofGg28","Deva Deva","Arijit Singh"
"hAB2MptEqWQ","The Breakup Song","Arijit Singh"
"gHa0YlssZis","Bairiya","Arijit Singh"
"1L2JJz0Kr-I","Tu Har Lamha","Arijit Singh"
"_D-BjGZDa48","Mareez-E-Ishq","Arijit Singh"
"ZBMVHhSbF4U","Laal Ishq","Arijit Singh"
"wNCJvvjo_3I","Tu Hi Hai","Arijit Singh"
"LyAeX09EAf4","Beech Beech Mein","Arijit Singh"
"6QdFAyYVwSQ","Rahogi Meri","Arijit Singh"
"XLf4C-ouONo","Dhokha Dhadi","Arijit Singh"
"vb-cDK3XSm8","Mera Pyar Tera Pyar","Arijit Singh"
"Rv1ZErn_PC8","Daayre","Arijit Singh"
"J2FE2lLEylI","Saanson Ko","Arijit Singh"
"e2bD9JnS5KU","Mere Pyare Prime Minister","Arijit Singh"
"yynPV_JCfNw","Teri Khushboo","Arijit Singh"
"xGqjZSw4B80","Haan Tum Ho","Arijit Singh"
"UbH076MNqJw","Ae Zindagi Gale Laga Le","Arijit Singh"
"oc8Mwu4jmJQ","Alizeh","Arijit Singh"
"zo6p7nkWRFE","Dance Ka Bhoot","Arijit Singh"
"YvktCqFHSl0","Tukur Tukur","Arijit Singh"
"V_0iJm1RAhY","Tera Hua","Arijit Singh"
